Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/02/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/03/2020,AQS,120090007,3,16,ug/m3 SC,15,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/04/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/05/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/06/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/07/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/08/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/09/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/10/2020,AQS,120090007,3,34,ug/m3 SC,31,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/11/2020,AQS,120090007,3,38,ug/m3 SC,35,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/12/2020,AQS,120090007,3,34,ug/m3 SC,31,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/13/2020,AQS,120090007,3,31,ug/m3 SC,29,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/14/2020,AQS,120090007,3,23,ug/m3 SC,21,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/15/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/16/2020,AQS,120090007,3,16,ug/m3 SC,15,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/17/2020,AQS,120090007,3,26,ug/m3 SC,24,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/18/2020,AQS,120090007,3,25,ug/m3 SC,23,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/19/2020,AQS,120090007,3,22,ug/m3 SC,20,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/20/2020,AQS,120090007,3,16,ug/m3 SC,15,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/21/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/22/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/23/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/24/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/25/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/26/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/27/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/28/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/29/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/30/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
01/31/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/01/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/02/2020,AQS,120090007,3,9,ug/m3 SC,8,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/03/2020,AQS,120090007,3,10,ug/m3 SC,9,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/04/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/05/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/06/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/07/2020,AQS,120090007,3,22,ug/m3 SC,20,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/08/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/09/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/10/2020,AQS,120090007,3,22,ug/m3 SC,20,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/11/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/12/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/13/2020,AQS,120090007,3,30,ug/m3 SC,28,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/14/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/15/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/16/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/17/2020,AQS,120090007,3,11,ug/m3 SC,10,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/18/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/19/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/20/2020,AQS,120090007,3,18,ug/m3 SC,17,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/21/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/22/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/23/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/24/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/25/2020,AQS,120090007,3,18,ug/m3 SC,17,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/26/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/27/2020,AQS,120090007,3,10,ug/m3 SC,9,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/28/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
02/29/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/01/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/02/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/03/2020,AQS,120090007,3,25,ug/m3 SC,23,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/04/2020,AQS,120090007,3,30,ug/m3 SC,28,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/06/2020,AQS,120090007,3,16,ug/m3 SC,15,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/07/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/08/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/09/2020,AQS,120090007,3,24,ug/m3 SC,22,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/10/2020,AQS,120090007,3,27,ug/m3 SC,25,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/11/2020,AQS,120090007,3,21,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/12/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/13/2020,AQS,120090007,3,17,ug/m3 SC,16,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/14/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/15/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/16/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
03/17/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
